fseqno,timestamp,car_count,inf_latency,model,gpu_util,gpu_power,network,gpu_mem,cpu_power,cpu_util,cpu_mem
8478,1738078361,12,0.0186481475830078,yolov8m,4.0,42.0,161644.0,1.0,58.898064000000005,223.2807067,16537.7179
8479,1738078361,13,0.0054810047149658,yolov8m,4.0,42.0,161644.0,1.0,58.898064000000005,223.2807067,16537.7179
8480,1738078361,11,0.0058767795562744,yolov8m,4.0,42.0,161644.0,1.0,58.898064000000005,223.2807067,16537.7179
8481,1738078361,10,0.0161430835723876,yolov8m,4.0,42.0,161644.0,1.0,58.898064000000005,223.2807067,16537.7179
8482,1738078361,12,0.0061910152435302,yolov8m,4.0,42.0,161644.0,1.0,58.898064000000005,223.2807067,16537.7179
8483,1738078361,11,0.0057995319366455,yolov8m,4.0,42.0,161644.0,1.0,58.898064000000005,223.2807067,16537.7179
8484,1738078361,11,0.0057995319366455,yolov8m,4.0,42.0,161644.0,1.0,58.898064000000005,223.2807067,16537.7179
8485,1738078361,11,0.0057995319366455,yolov8m,4.0,42.0,161644.0,1.0,58.898064000000005,223.2807067,16537.7179
8486,1738078361,11,0.0056312084197998,yolov8m,4.0,42.0,161644.0,1.0,58.898064000000005,223.2807067,16537.7179
8487,1738078361,10,0.0064764022827148,yolov8m,4.0,42.0,161644.0,1.0,58.898064000000005,223.2807067,16537.7179
8488,1738078361,10,0.0055429935455322,yolov8m,4.0,42.0,161644.0,1.0,58.898064000000005,223.2807067,16537.7179
8489,1738078361,11,0.0057833194732666,yolov8m,4.0,42.0,161644.0,1.0,58.898064000000005,223.2807067,16537.7179
8490,1738078361,8,0.0057854652404785,yolov8m,4.0,42.0,161644.0,1.0,58.898064000000005,223.2807067,16537.7179
8491,1738078361,13,0.00565767288208,yolov8m,4.0,42.0,161644.0,1.0,58.898064000000005,223.2807067,16537.7179
8492,1738078361,12,0.0061070919036865,yolov8m,4.0,42.0,161644.0,1.0,58.898064000000005,223.2807067,16537.7179
8493,1738078361,11,0.0054850578308105,yolov8m,4.0,42.0,161644.0,1.0,58.898064000000005,223.2807067,16537.7179
8494,1738078362,14,0.0053224563598632,yolov8m,4.0,42.0,173714.0,1.0,58.983477,219.6974305,16492.1789
